Class Title,Attribute/Class/Definition/Priority Complete,Description Abbreviation ,Class Matches Library,Attribute Name,Order for Description,"Type (List,MultilineString,Date,Boolean,Integer,Real)","Dimensions (Unit)
AKA Measurement Type",Preferred Unit,"Is Multivalue (True,False)",Description,Default Value,Authorized Values (comma delimited),Authorized Abbreviation (comma delimited),Minimum (inclusive),Maximum (inclusive),"Required (True,False)"
Cutter Chain,3,CTRCHAIN,FALSE,Chain Style,1,List,,,FALSE,,,"ABF, FLATBASE, LOW PROFILE, STANDARD
","ABF, FLATBASE, LOWPF, STD",,,
Cutter Chain,3,CTRCHAIN,FALSE,Chain Cut Width,,Integer,,,FALSE,,,,,,,
Cutter Chain,3,CTRCHAIN,FALSE,Chain Pin Count,,Even Integer,,,FALSE,,,,,,,
Cutter Chain,3,CTRCHAIN,FALSE,Chain Cutter Style,2,List,,,FALSE,,,"C87 ROTARY FULL, C87 WELDED ROTARY, CORAL ROTARY, CUP FULL, CUP PARTIAL, NEW JERSEY ROTARY, ROTARY COMBO, ROTARY FULL, SHARK COMBO, SHARK FULL, TIGER CUP COMBO, SHARK FULL, TIGER CUP PARTIAL, WELDED ROTARY, WELDED SHARK","C87RTRYFULL, C87WLDRTRY, CORALRTRY, CUPFULL, CUPPART, NEWJERSEYRTRY, RTRYCOMBO, RTRYFULL,SHARKCOMBO, SHARKFULL, TIGERCUPCOMBO, SHARKFULL, TIGERCUPPART, WLDRTRY, WLDSHARK, NA",,,
Label,2,DECAL,TRUE,Label Language,,List,,,FALSE,,,"English, Chinese, Spanish, French, German, Dutch, No Text","ENG, CHINESE, SPANISH, FRENCH, GERMAN, DUTCH, NOTEXT",,,
Label,2,DECAL,TRUE,Width,,Real,Length ,Inch,FALSE,,,,,,,
Label,2,DECAL,TRUE,Height,,Real,Length,Inch,FALSE,,,,,,,
Label,2,DECAL,TRUE,Label Material ,,List,,,FALSE,,,"Vinyl, Clear Vinyl, Polycarb, Polyester, Aluminum","VINYL, CLEARVINYL, POLYCARB, POLYESTER, ALUMIMUM ",,,
Label,2,DECAL,TRUE,Label Type,,List,,,FALSE,,,"DECAL, PLATE","DECAL, PLATE",,,
"Decal, Control",3,"DECAL,CONT",TRUE,Control Type,,List,,,FALSE,,,"Button, Dial, E-Stop, Joystick, Keypad, Keypad Overlay, Keyswitch, Lever, Light, Lock Pin, Switch, Valve","BUTTON, DIAL, ESTOP, JSTICK, KEYPAD, KEYPADOVERLAY, KEYSWITCH, LEVER, LIGHT, LOCKPIN, SWITCH, VALVE",,,
"Decal, Control Multi ",3,"DECAL,CONTMULTI",FALSE,Control Type,,List,,,FALSE,,,"Button, Dial, E-Stop, Joystick, Keypad, Keypad Overlay, Keyswitch, Lever, Light, Lock Pin, Switch, Valve","BUTTON, DIAL, ESTOP, JSTICK, KEYPAD, KEYPADOVERLAY, KEYSWITCH, LEVER, LIGHT, LOCKPIN, SWITCH, VALVE",,,
"Decal, Control Panel",3,"DECAL,CONTPNL",FALSE,Control Location,,List,,,FALSE,,,"Bottom, Dash, Front, Left, Lower, Main, Rear, Right, Top, Upper","BOT, DASH, FRONT, LEFT, LOWER, MAIN, REAR, RIGHT, TOP, UPPER",,,
"Decal, Control Panel",3,"DECAL,CONTPNL",FALSE,Machine Type,,List,,,FALSE,,,"All, Attachment, Bale Processor, Bale Wrapper, Baler, Baler - Self Propelled, Brush Chipper, Compact Articulated Loader, Compost Turner, Concrete Cutter, Core Saw, Disc Mower, Feed Wagon, Grinder, High Pressure Mud Pump, Horizontal Grinder, Mini Skid Steer, Mix System, Mower, MUD Hub, Pedestrian Trencher, Piercing Tool, Pile Driver, Pipeline Directional Drill, Pipeline Trencher, Rake, Rake, Reclaimer, Stump Cutter, Tedder, Terrain Leveler, Trailed Mower, Trailer, Trencher, Trommel Screen, Tub Grinder, Utility Directional Drills, Utility Locator, Vacuum Excavator, Whole Tree Chipper",,,,
"Decal, Fuse",3,"DECAL,FUSE",TRUE,"Decal, Emission Standard",,List,,,FALSE,,,"T3, IT4, T4F, StageV","T3, IT4, T4F, SV",,,
"Decal, Information",3,"DECAL,INFO",TRUE,"Decal, Information Type",,List,,,FALSE,,,"Tie Down, Lift Point, Grease Location, Fgas, Indicator, Machine ID, Tire Placard, Rear Impact Guard, Final Stage Manufacturer, Prior Manufacturer IVD, Altered Vehicle","TIEDOWN, LIFTPT, GRSLOCATION, FGAS, INDICATOR, MACHID, TIREPLACARD, REARIMPGD, FINALSTGMFR, PRIORMFRIVD, ALTRDVEH",,,
"Decal, Logo",3,"DECAL,LOGO",FALSE,Logo Type,,List,,,FALSE,,,"Vermeer,McLaughlin,Cosmetic V, SmartFeed, ECOIDLE","VERMEER, MCLAUGHLIN, COSMETICV, SMARTFEED, ECOIDLE",,,
"Decal, Logo",3,"DECAL,LOGO",FALSE,Decal Color,,List,,,FALSE,,,"Black, Clear, Gray, Green, White, Yellow","BLK, CLEAR, GRA, GRN, WHITE, YEL",,,
"Decal, Lube Chart",3,"DECAL,LUBE",TRUE,"Decal, Chart Location",,List,,,FALSE,,,"Left, Right  ","LEFT, RIGHT",,,
"Decal, Lube Chart",3,"DECAL,LUBE",TRUE,Machine Type,,List,,,FALSE,,,"All, Attachment, Bale Processor, Bale Wrapper, Baler, Baler - Self Propelled, Brush Chipper, Compact Articulated Loader, Compost Turner, Concrete Cutter, Core Saw, Disc Mower, Feed Wagon, Grinder, High Pressure Mud Pump, Horizontal Grinder, Mini Skid Steer, Mix System, Mower, MUD Hub, Pedestrian Trencher, Piercing Tool, Pile Driver, Pipeline Directional Drill, Pipeline Trencher, Rake, Rake, Reclaimer, Stump Cutter, Tedder, Terrain Leveler, Trailed Mower, Trailer, Trencher, Trommel Screen, Tub Grinder, Utility Directional Drills, Utility Locator, Vacuum Excavator, Whole Tree Chipper",,,,
"Decal, Impact Stripe",3,"DECAL,STRIPE",FALSE,Vermeer Model,,List,,,FALSE,,,"BC700XL, BC1000XL",,,,
"Decal, Impact Stripe",3,"DECAL,STRIPE",FALSE,Decal Color,,List,,,FALSE,,,"Black, Clear, Gray, Green, White, Yellow","BLK, CLEAR, GRA, GRN, WHITE, YEL",,,
"Decal, Impact Stripe",3,"DECAL,STRIPE",FALSE,Decal Position,,List,,,FALSE,,,"Left, Right, Front, Rear",,,,
"Decal, Private Label ",3,"DECAL,PRIVATELBL",FALSE,Private Label Company,,List,,,FALSE,,,"Home Depot, Sunbelt, ","HOMEDEPOT, SUNBELT",,,
"Decal, Private Label ",3,"DECAL,PRIVATELBL",FALSE,Orientation,,List,,,FALSE,,,"Horizontal, Vertical","HORIZ, VERT",,,
"Decal, Protective",3,"DECAL,PROT",FALSE,Decal Color,,List,,,FALSE,,,"Black, Clear, Gray, Green, White, Yellow","BLK, CLEAR, GRA, GRN, WHITE, YEL",,,
"Decal, Safety",2,"DECAL,SAF",TRUE,Number of Labels,,Integer,,,FALSE,,,,,,,
"Decal, Safety",2,"DECAL,SAF",TRUE,Hazard Type,,List,,,FALSE,,,"BURN, CRUSH, CUT, ELECTRICUTION, FALL, FALLING OBJECT, GENERIC HAZARD, PRESSURIZED FLUID, ENTANGLEMENT, MAGNETIC FIELD, ROLLOVER, SHUTDOWN PROCEDURE, THROWN OBJECTS, TOWING","BURN, CRUSH, CUT, ELECTRIC, FALL, FALLOBJ, GENERIC, PRSRZFL, ENTANGLE, MAGFLD, ROLLOVER, SHTDNPROC, THROWOBJ, TOW",,,
"Decal, Safety",,"DECAL,SAF",TRUE,Decal Format,,List,,,FALSE,,,"ANSI, ISO","ANSI, ISO",,,
"Decal, Safety",2,"DECAL,SAF",TRUE,Decal Orientation,,List,,,,,,"Horizontal, Vertical","HORIZ, VERT",,,
"Decal, Safety",2,"DECAL,SAF",TRUE,Hazard Level,1,List,,,FALSE,,,"Danger, Warning, Caution, Notice, Instructional, Safety X Panel","DANGER, WARNING, CAUTION, NOTICE, INSTR, SAFXPNL",,,
"Decal, Sound Level ",3,"DECAL,SNDLVL",FALSE,Sound Level,,Real,Sound Pressure,dB,FALSE,,,,,,,
"Decal, Speed Indication Symbol",3,"DECAL,SIS",FALSE,Decal Speed,,List,,,FALSE,,,,,,,
Display,2,DSPL,TRUE,Max Voltage,,Real,Voltage,V,FALSE,,,,,,,TRUE
Display,2,DSPL,TRUE,Min Voltage,,Real,Voltage,V,FALSE,,,,,,,
Display,2,DSPL,TRUE,Multifunction,3,List,,,FALSE,,,"Controller, Display","CONT, DSPL",,,
Display,2,DSPL,TRUE,Screen Type,2,List,,,FALSE,,,"Color, Monochrome","COLOR, MONO",,,TRUE
Display,2,DSPL,TRUE,Screen Size,1,Real,,,FALSE,,,,,,,TRUE
Drill Head,3,DRILLHEAD,FALSE,Drill Rod Size,2,Real,,Inch,FALSE,,,,,,,
Drill Head,3,DRILLHEAD,FALSE,Ground Conditions,3,List,,,FALSE,,,"Cobble, Fractured Rock, Soft Rock, Hard Rock",,,,
Drill Head,3,DRILLHEAD,FALSE,Min Cut Diameter,1,Real,Diameter,Inch,FALSE,,,,,,,
Drive Chain,3,DRCHAIN,TRUE,Drive Chain No. of Links,3,Integer,,,FALSE,,,,,,,
Drive Chain,3,DRCHAIN,TRUE,Length,1,Real,Length,Inch,FALSE,,,,,,,
Drive Chain,3,DRCHAIN,TRUE,Width,2,Real,Length,Inch,FALSE,,,,,,,
Drive Chuck,,,FALSE,Thread Size,1,List,,,FALSE,,,"Firestick 600, Firestick 700, etc.","FIRESTICK600, FIRESTICK700",,,
Drive Chuck ,,,FALSE,Drill Rod Size,2,Real,,Inch,FALSE,,,,,,,
Edge Trim,3,EDGETRIM,TRUE,Edge Trim Mat.,1,List,,,,,,"Aluminum, Plastic, Rubber, Stainless
","AL, PLSTC, RBR, SST",,,
Edge Trim,3,EDGETRIM,TRUE,Parent Mat. Thickness,,Real,Length,Inch,,,,,,,,
Electric Connector,2,ELECCCONN,FALSE,Cavity Count,2,Integer,,,FALSE,,,,,,,TRUE
Electric Connector,2,ELECCCONN,FALSE,Color,,List,,,FALSE,,,,,,,TRUE
Electric Connector,2,ELECCCONN,FALSE,Connector Type,3,List,,,FALSE,,,"Circular, Rectangular, ","CIRC, RECT",,,TRUE
Electric Connector,2,ELECCCONN,FALSE,Gender,1,List,,,FALSE,,,"Plug, Receptacle","PLUG, RCPT",,,TRUE
Electric Connector,2,ELECCCONN,FALSE,Key,,List,,,FALSE,,,,,,,TRUE
Electric Connector,2,ELECCCONN,FALSE,Modifications,,List,,,FALSE,,,,,,,TRUE
Electric Fan,2,ELECFAN,FALSE,Fan Diameter,1,Real,Length,Inch,FALSE,,,,,,,TRUE
Electric Fan,2,ELECFAN,FALSE,Max Voltage,,Real,Voltage,V,FALSE,,,,,,,TRUE
Electric Fan,2,ELECFAN,FALSE,Min Voltage,,Real,Voltage,V,FALSE,,,,,,,TRUE
Electric Fan,2,ELECFAN,FALSE,Number of Blades,,Integer,,,FALSE,,,,,,,
Electric Fan,2,ELECFAN,FALSE,Reversible,,Boolean,,,FALSE,,FALSE,"Non-Reversible, Reversible",,,,TRUE
Electric Fan,3,ELECFAN,FALSE,Fan Air Flow,,Real,Flowrate,CFM,FALSE,,,,,,,
Electric Fan,3,ELECFAN,FALSE,Flow Direction,2,Boolean,,,FALSE,,,"Sucker, Blower","SUCKER, BLOWER",,,
Electric Gauge,2,ELECGA,FALSE,Gauge Max Voltage,,Real,Voltage,V,TRUE,,,,,,,FALSE
Electric Gauge,2,ELECGA,FALSE,Gauge Min Voltage,,Real,Voltage,V,FALSE,,,,,,,
Electric Gauge,2,ELECGA,FALSE,Gauge Type,1,List,,,FALSE,,,"FUEL, HOUR, HOUR/TACH, PRESSURE, TACH, TEMPERATURE, VOLTAGE","FUEL, HR, HRTACH, PRESS, TACH, TEMP, VOLT",,,TRUE
Electric Motor,2,ELECMOT,FALSE,Motor Rated Speed,,Real,Angular Velocity,RPM,FALSE,,,,,,,TRUE
Electric Motor,2,ELECMOT,FALSE,Motor Rated Power,4,Real,Power ,KW,FALSE,,,,,,,FALSE
Electric Motor,2,ELECMOT,FALSE,Motor Mounting Type,,List,,,FALSE,,,"Foot Only, Outer Flange, Inner Flange, Foot and Outer Flange, Foot and Inner Flange ","FTONLY, OUTFLG, INFLG, FTOUTFLG, FTINFLG",,,
Electric Motor,2,ELECMOT,FALSE,Motor Rating Type,,List,,,FALSE,,,"IEC, NEMA","IEC, NEMA",,,
Electric Motor,2,ELECMOT,FALSE,Motor Frame IEC Size,,List,,,FALSE,,,"63, 71, 80, 90, 100, 112, 132, 160, 180, 200, 225, 250, 280, 315, 355, 400, 450, 500","63, 71, 80, 90, 100, 112, 132, 160, 180, 200, 225, 250, 280, 315, 355, 400, 450, 500",,,
Electric Motor,2,ELECMOT,FALSE,Motor Frame NEMA Size,,List,,,FALSE,,,"42, 48, 56, 180T, 210T, 250T, 280T, 320T, 360T, 400T, 440T, 5000, 5800, 6800","42, 48, 56, 180T, 210T, 250T, 280T, 320T, 360T, 400T, 440T, 5000, 5800, 6800",,,
Electric Motor,2,ELECMOT,FALSE,Motor Rotation Direction,,List,,,,,,"CCW, CW","CCW, CW",,,
Electric Motor,2,ELECMOT,FALSE,Motor Voltage,1,Real,Voltage,V,TRUE,,,,,,,TRUE
Electric Motor,2,ELECMOT,FALSE,Current Type,2,List,,,FALSE,,,,,,,
Electric Motor,2,ELECMOT,FALSE,Number of Phases,3,List,,,FALSE,,,"Single Phase, Three Phase, ",,,,
Electric Motor,2,ELECMOT,FALSE,Motor Housing Material,,List,,,FALSE,,,"Steel, Aluminum  ","STL, AL ",,,
Electrical Actuator,2,ELECACTR,TRUE,Current Type,,List,,,,,,"AC, DC","AC, DC",,,
Electrical Actuator,2,ELECACTR,TRUE,Extended Length,,Real,Length,Inch,FALSE,,,,,,,
Electrical Actuator,2,ELECACTR,TRUE,Pull Load Capacity,,Real,Force,Pound,FALSE,,,,,,,
Electrical Actuator,2,ELECACTR,TRUE,Push Load Capacity,2,Real,Force,Pound,FALSE,,,,,,,
Electrical Actuator,2,ELECACTR,TRUE,Stroke Length,1,Real,Length,Inch,FALSE,,,,,,,
Electrical Actuator,2,ELECACTR,TRUE,Voltage,3,Real,Voltage,V,,,,,,,,
Electrical Cable,2,ELECCBL,TRUE,Cable Type,1,List,,,,,,"USB, Ethernet, Antenna","USB, ETH, ANT",,,
Electrical Cable,2,ELECCBL,TRUE,Ethernet Category,,List,,,,,N/A,"CAT5, CAT5e, CAT6, NA","CAT5, CAT5e, CAT6, NA",,,
Electrical Cable,2,ELECCBL,TRUE,Length,2,Real,Length,Inch,FALSE,,,,,,,
Electrical Cable,2,ELECCBL,TRUE,Cable Terminal A Type,,List,,,,,,"M12_F, M12_M, RJ45, RJ45S, 12P_F, LEADS, TNCM, NF","M12_F, M12_M, RJ45, RJ45S, 12P_F, LEADS, TNCM, NF",,,
Electrical Cable,2,ELECCBL,TRUE,Cable Terminal B Type,,List,,,,,,"M12_F, M12_M, RJ45, RJ45S, 12P_F, LEADS, TNCM, NF","M12_F, M12_M, RJ45, RJ45S, 12P_F, LEADS, TNCM, NF",,,
Electronic Control Module ,2,ECM,FALSE,Control Module Type,1,List,,,FALSE,,,"Body, Climate, Engine, Electronic Brake, Powertrain, Transmission","BCM, CCM, ECM, EBCM, PCM, TCM",,,
Electronic Control Module ,2,ECM,FALSE,Cavity Count,3,Integer,,,FALSE,,,,,,,
Electronic Control Module ,2,ECM,FALSE,Connector Count,2,Integer,,,TRUE,,,,,,,TRUE
Encoder,3,"SNSR,ENCDR",TRUE,Encoder Max Voltage,,Real,Voltage,V,FALSE,,,,,,,TRUE
Encoder,3,"SNSR,ENCDR",TRUE,Encoder Min Voltage,,Real,Voltage,V,FALSE,,,,,,,
Encoder,3,"SNSR,ENCDR",TRUE,Encoder Output Type,,List,,,FALSE,,,"Voltage, CAN","VOLT, CAN",,,TRUE
Encoder,3,"SNSR,ENCDR",TRUE,Encoder Type,1,List,,,FALSE,,,"Absolute, Incremental","ABS, INCR",,,TRUE
Engine,2,ENG,TRUE,Displacement,2,Real,Volume,Liter,FALSE,,,,,,,TRUE
Engine,2,ENG,TRUE,EPA Emissions,,List,,,FALSE,,NA,"NA, Pre_Tier, Tier 1, Tier 2, Tier 3, Tier 4i, Tier 4f, Tier 5, Phase 1, Phase 2, Phase 3","NA, PRETIER, T1, T2, T3, IT4, T4F, T5, P1, P2, P3",,,TRUE
Engine,2,ENG,TRUE,EU Emissions,,List,,,FALSE,,NA,"NA, Pre_Stage, Stage I, Stage II, Stage IIIa, Stage IIIb, Stage IV, Stage V, Stage VI","NA, PRESTG, STG1, STG2, STG3A, STG3B, STG4, STG5, STG6",,,TRUE
Engine,2,ENG,TRUE,Fuel Type,1,List,,,FALSE,,,"Diesel, Gasoline, LPG","DSL, GAS, LPG",,,TRUE
Engine,2,ENG,TRUE,Rated Power,3,Real,Power,HP,FALSE,,,,,,,TRUE
Engine,2,ENG,TRUE,Rated Speed,,Real,ROTATIONAL VELOCITY,RPM,FALSE,,,,,,,TRUE
Engine Oil,2,ENGOIL,TRUE,Engine Oil API Rating,,List,,,TRUE,,,"SP, SN, SM, CK_4, CJ_4, CI_4, FA_4","SP, SN, SM, CK_4, CJ_4, CI_4, FA_4",,,
Engine Oil,2,ENGOIL,TRUE,SAE Visc. Grade,3,List,,,FALSE,,,"4, 8, 12, 20, 30, 40, 50, 60","4, 8, 12, 20, 30, 40, 50, 60",,,TRUE
Engine Oil,2,ENGOIL,TRUE,SAE Winter Visc Grade,2,List,,,FALSE,,,"0W, 5W, 10W, 15W, 20W, 25W","0W, 5W, 10W, 15W, 20W, 25W",,,
Engine Oil,2,ENGOIL,TRUE,Engine Oil Type,1,List,,,TRUE,,,"Diesel, Gas, other","DSL, GAS, OTHER",,,
Exhaust Flex Coupling,2,EXHCPLG,FALSE,Pipe OD,1,Real,Diameter,Inch,FALSE,,,,,,,
Fabricated Machined,2,FABMA,TRUE,Fab Material,,List,,,FALSE,,,"Steel, Stainless, Aluminum, Plastic, ","STL, SST, AL, PLSTC",,,
Fabricated Sheetmetal,2,FABSHMET,TRUE,Sheetmetal Material,,List,,,FALSE,,,"Steel, Stainless, Aluminum","STL, SST, AL",,,
Fabricated Sheetmetal,2,FABSHMET,TRUE,Sheetmetal Thickness,,Real,Thickness,Inch,FALSE,,,,,,,
Fabricated Sheetmetal,2,FABSHMET,TRUE,Sheetmetal VRM,,List,,,FALSE,,,"100, 101, 102, 103, 104, 105, 106, 107, 118, 119, 129, 130, 131, 132, 139, 404, 405, 500","100, 101, 102, 103, 104, 105, 106, 107, 118, 119, 129, 130, 131, 132, 139, 404, 405, 500",,,
Filter,2,FLRT,TRUE,Filter Type,1,List,,,FALSE,,,"Engine Oil, Air, Hydraulic, Water, Fuel","ENGOIL, AIR, HYDR, H2O, FUEL",,,FALSE
Filter Element,2,FLRTELEM,FALSE,Filter Type,1,List,,,FALSE,,,"Engine Oil, Air, Hydraulic, Water, Fuel","ENGOIL, AIR, HYDR, H2O, FUEL",,,
"Fitting, Adapter",3,"FTG,ADPTR",FALSE,End 1 Type,2,List,,,FALSE,,,"Hose Barb, NPT, BSPT","HB, NPT, BSPT",,,
"Fitting, Adapter",3,"FTG,ADPTR",FALSE,End 1 Size,,List,,,FALSE,,,"1/4"", 5/16"", 3/8"", 1/2"", 3/4"", 7/8"", 1"", 1-1/8"", 1-1/4"", 1-3/8"", 1-1/2"", 1-3/4"", 2"", 2-1/4"", 2-1/2"", 2-3/4"", 3"", M5, M6, M7, M8, M10, M12, M14, M16, M18, M20, M22","1_4"", 5_16"", 3_8"", 1_2"", 3_4"", 7_8"", 1"", 1-1_8"", 1-1_4"", 1-3_8"", 1-1_2"", 1-3_4"", 2"", 2-1_4"", 2-1_2"", 2-3_4"", 3"", M5, M6, M7, M8, M10, M12, M14, M16, M18, M20, M22",,,
"Fitting, Adapter",3,"FTG,ADPTR",FALSE,End 1 Gender,,List,,,FALSE,,,"MALE, FEMALE","M, F",,,
"Fitting, Adapter",3,"FTG,ADPTR",FALSE,End 2 Type,3,List,,,FALSE,,,"Hose Barb, NPT, BSPT","HB, NPT, BSPT",,,
"Fitting, Adapter",3,"FTG,ADPTR",FALSE,End 2 Size,,List,,,FALSE,,,"1/4"", 5/16"", 3/8"", 1/2"", 3/4"", 7/8"", 1"", 1-1/8"", 1-1/4"", 1-3/8"", 1-1/2"", 1-3/4"", 2"", 2-1/4"", 2-1/2"", 2-3/4"", 3"", M5, M6, M7, M8, M10, M12, M14, M16, M18, M20, M22","1_4"", 5_16"", 3_8"", 1_2"", 3_4"", 7_8"", 1"", 1-1_8"", 1-1_4"", 1-3_8"", 1-1_2"", 1-3_4"", 2"", 2-1_4"", 2-1_2"", 2-3_4"", 3"", M5, M6, M7, M8, M10, M12, M14, M16, M18, M20, M22",,,
"Fitting, Adapter",3,"FTG,ADPTR",FALSE,End 2 Gender,,List,,,FALSE,,,"MALE, FEMALE","M, F",,,
"Fitting, Adapter",3,"FTG,ADPTR",FALSE,Adapter Material,1,List,,,FALSE,,,"Plastic, Brass, Stainless, Steel","PLSTC, BRS, SST, STL",,,
"Fitting, Cap",3,CAP,FALSE,CAP MATERIAL,1,List,,,FALSE,,,"Plastic, Brass, Stainless, Steel","PLSTC, BRS, SST, STL",,,
"Fitting, Cap",3,CAP,FALSE,Cap End 1 Sealing Type,,List,,,FALSE,,,"JIC, ORB, ORFS, CD61, CD62, NPT, BSPP, ","JIC, ORB, ORFS, CD61, CD62, NPT, BSPP, ",,,
"Fitting, Cap",3,CAP,FALSE,Cap End 1 Size,,List,,,FALSE,,,"2, 3, 4, 5, 6, 8, 10, 12, 16, 20, 24, 32, 40, 48, 64","2, 3, 4, 5, 6, 8, 10, 12, 16, 20, 24, 32, 40, 48, 64",,,
"Fitting, Cross",3,"FTG,CROSS",FALSE,Cross Fitting Mat.,,List,,,FALSE,,,"Steel, Brass, Stainless, Plastic","STL, BRS, SST, PLSTC",,,
"Fitting, Cross",3,"FTG,CROSS",FALSE,Cross End 1 Gender,,List,,,FALSE,,,"F, M, FS, MS, NA","F, M, FS, MS, NA",,,
"Fitting, Cross",3,"FTG,CROSS",FALSE,Cross End 1 Sealing Type,1,List,,,FALSE,,,"JIC, ORB, ORFS, CD61, CD62, NPT, BSPP, BARB, NA","JIC, ORB, ORFS, CD61, CD62, NPT, BSPP, BARB, NA",,,
"Fitting, Cross",3,"FTG,CROSS",FALSE,Cross End 1 Size,,List,,,FALSE,,,"2, 3, 4, 5, 6, 8, 10, 12, 16, 20, 24, 32, 40, 48, 64, NA","2, 3, 4, 5, 6, 8, 10, 12, 16, 20, 24, 32, 40, 48, 64, NA",,,
"Fitting, Elbow",3,"FTG,ELB",FALSE,Elbow ID,,Real,Diameter,Inch,FALSE,,,,,,,
"Fitting, Elbow",3,"FTG,ELB",FALSE,Elbow Material,1,List,,,FALSE,,,"Steel, Brass, Bronze, Stainless, Plastic, Rubber, Copper, Aluminum","STL,BRS, BRZ, SST, PLSTC, RBR, CU, AL",,,
"Fitting, Elbow",3,"FTG,ELB",FALSE,Max Pressure,,Real,Pressure,PSI,FALSE,,,,,,,
"Fitting, Elbow",3,"FTG,ELB",FALSE,Elbow Max Temp ,,Real,Temperature,Fahrenheit,FALSE,,,,,,,
"Fitting, Elbow",3,"FTG,ELB",FALSE,Elbow Angle,2,List,Degrees,,FALSE,,,"STR, 22 AND ONE HALF, 30, 45, 60, 67, 90S, 90M, 90L","STR, 22 AND ONE HALF, 30, 45, 60, 67, 90S, 90M, 90L",,,
"Fitting, Grease",3,"FTG,GRS",FALSE,Grease Fitting Angle Type,,List,,,FALSE,,,"F, M, FS, MS","F, M, FS, MS",,,
"Fitting, Grease",3,"FTG,GRS",FALSE,Dust Cap,,Boolean,,,FALSE,,,"Cap, No Cap","CAP, NOCAP",,,
"Fitting, Grease",3,"FTG,GRS",FALSE,Grease Fitting End Size,1,List,,,FALSE,,,"2, 3, 4, 5, 6, 8, 10, 12, 16, 20, 24, 32, 40, 48, 64","2, 3, 4, 5, 6, 8, 10, 12, 16, 20, 24, 32, 40, 48, 64",,,
"Fitting, Grease",3,"FTG,GRS",FALSE,Max Pressure,,Real,Pressure,PSI,FALSE,,,,,,,
"Fitting, Grease",3,"FTG,GRS",FALSE,Grease Fitting Thread Size,,List,,,FALSE,,,"1/8""NPT, 1/16""NPT, 1/2""NPT, 1/4""-19, 1/8""-27 M10x1","1_8""NPT, 1_16""NPT, 1_2""NPT, 1_4""-19, 1_8""-27 M10x1",,,
"Fitting, Hose Coupling",3,"FTG,HOSECPLG",FALSE,Angle/Type,,List,,,FALSE,,,"STR, 22.5, 30, 45, 60, 67, 90S, 90M, 90L","STR, 22.5, 30, 45, 60, 67, 90S, 90M, 90L",,,
"Fitting, Hose Coupling",3,"FTG,HOSECPLG",FALSE,Connection Size,,List,,,FALSE,,,"2, 3, 4, 5, 6, 8, 10, 12, 16, 20, 24, 32, 40, 48, 64","2, 3, 4, 5, 6, 8, 10, 12, 16, 20, 24, 32, 40, 48, 64",,,
"Fitting, Hose Coupling",3,"FTG,HOSECPLG",FALSE,Gender,,List,,,FALSE,,,"F, FS, M, MS","F, FS, M, MS",,,
"Fitting, Hose Coupling",3,"FTG,HOSECPLG",FALSE,Hose Size,,List,,,FALSE,,,"2, 3, 4, 5, 6, 8, 10, 12, 16, 20, 24, 32, 40, 48, 64","2, 3, 4, 5, 6, 8, 10, 12, 16, 20, 24, 32, 40, 48, 64",,,
"Fitting, Hose Coupling",3,"FTG,HOSECPLG",FALSE,Pressure Rating,,List,,,FALSE,,,"3000, 4000, 5000, 6000, Hydraulic Return, Hydraulic Suction","3000, 4000, 5000, 6000, HYDRRTN, HYDRSUCT",,,
"Fitting, Hose Coupling",3,"FTG,HOSECPLG",FALSE,Sealing Type,,List,,,FALSE,,,"JIC, ORB, ORFS, CD61, CD62, NPT, BSPP","JIC, ORB, ORFS, CD61, CD62, NPT, BSPP",,,
"Fitting, Live Swivel",3,"FTG,LIVESWVL",FALSE,Swivel Angle,,List,,,FALSE,,,,,,,
"Fitting, Live Swivel",3,"FTG,LIVESWVL",FALSE,Swivel End 1 Gender,,List,,,FALSE,,,"F, M, FS, MS","F, M, FS, MS",,,
"Fitting, Live Swivel",3,"FTG,LIVESWVL",FALSE,Swivel End 1 Sealing Type,,List,,,FALSE,,,"JIC, ORB, ORFS, CD61, CD62, NPT, BSPP, BARB, ","JIC, ORB, ORFS, CD61, CD62, NPT, BSPP, BARB, ",,,
"Fitting, Live Swivel",3,"FTG,LIVESWVL",FALSE,Swivel End 1 Size,,List,,,FALSE,,,"2, 3, 4, 5, 6, 8, 10, 12, 16, 20, 24, 32, 40, 48, 64","2, 3, 4, 5, 6, 8, 10, 12, 16, 20, 24, 32, 40, 48, 64",,,
"Fitting, Live Swivel",3,"FTG,LIVESWVL",FALSE,Swivel End 2 Gender,,List,,,FALSE,,,"F, M, FS, MS","F, M, FS, MS",,,
"Fitting, Live Swivel",3,"FTG,LIVESWVL",FALSE,Swivel End 2 Sealing Type,,List,,,FALSE,,,"JIC, ORB, ORFS, CD61, CD62, NPT, BSPP, BARB, ","JIC, ORB, ORFS, CD61, CD62, NPT, BSPP, BARB, ",,,
"Fitting, Live Swivel",3,"FTG,LIVESWVL",FALSE,Swivel End 2 Size,,List,,,FALSE,,,"2, 3, 4, 5, 6, 8, 10, 12, 16, 20, 24, 32, 40, 48, 64","2, 3, 4, 5, 6, 8, 10, 12, 16, 20, 24, 32, 40, 48, 64",,,
"Fitting, Pipe",3,"FTG,PIPE",FALSE,Pipe Finish,,List,,,FALSE,,,"Black Coated, Galvanized, Zinc Plated, Anodized, Plain","BLKCTD, GALV, ZINC, ANDZ, PL",,,TRUE
